S   6    
1    118022.3800000    0.000747000158      
2     17683.5410000    0.005790001226
3      4027.7657000    0.029919006337
4      1145.3977000    0.119206025250
5       377.1637500    0.369028078167
6       138.1596900    0.576459122105
S   3                                 
1       138.1596900    0.143926974929  
2        54.9891170    0.622937891488
3        23.1706670    0.283963950535
S   1                                 
1         7.3778600    1.000000000000
S   1                                 
1         2.9236880    1.000000000000
S   1                                 
1         0.6504050    1.000000000000
S   1                                 
1         0.2328250    1.000000000000
P   5                                 
1       663.0620100    0.003081999705 
2       157.0928100    0.024164997690
3        50.2311000    0.108222989654
4        18.6353450    0.294191971877
5         7.4465370    0.687861934243 
P   2                                 
1         7.4465370   -1.214482091745 
2         3.0956980    1.632370123314
L   1                                 
1         0.0600000    1.000000000000     1.000000000000
P   1                                 
1         1.1064630    1.000000000000
P   1                                 
1         0.4156010    1.000000000000 
P   1                                 
1         0.1454490    1.000000000000
D   1                                 
1         0.8500000    1.000000000000
