 
 
 MAXIMUM RANGE IN R (INF) :   21.000000000000000     
 ---------------------------------------------
 ---------OPTIMIZATION ENCOUNTER WITH---------
 --------R-PT--------THETA-PT----------PHI-PT-
          21          61          51
    0.2530177656E+02    0.6378127619E+01    0.4015200604E+01    0.7400635067E+01    0.2854419755E+02    0.1666125652E+03    0.1339189985E+04    0.1107151668E+02        21        61        51
    0.2530450646E+02    0.6308023387E+01    0.3993745682E+01    0.7413413148E+01    0.2855582855E+02    0.1666131236E+03    0.1339185085E+04    0.1121931937E+02        26        61        51
    0.2535382354E+02    0.6326784113E+01    0.4001481365E+01    0.7413557606E+01    0.2855430953E+02    0.1666127677E+03    0.1339185327E+04    0.1119318273E+02        31        61        51
    0.2530883982E+02    0.6315097710E+01    0.3998092804E+01    0.7413133632E+01    0.2855488870E+02    0.1666134478E+03    0.1339185889E+04    0.1120476211E+02        36        61        51
    0.2530249636E+02    0.6317947695E+01    0.3999415671E+01    0.7413412560E+01    0.2855479315E+02    0.1666133202E+03    0.1339185851E+04    0.1120007075E+02        41        61        51
    0.2531462746E+02    0.6319509751E+01    0.3999333384E+01    0.7413315609E+01    0.2855478007E+02    0.1666133273E+03    0.1339185847E+04    0.1120021859E+02        46        61        51
    0.2531462086E+02    0.6318713981E+01    0.3999159875E+01    0.7413308418E+01    0.2855478712E+02    0.1666133305E+03    0.1339185849E+04    0.1120083771E+02        51        61        51
    0.2531258292E+02    0.6318540520E+01    0.3999197197E+01    0.7413322594E+01    0.2855478830E+02    0.1666133299E+03    0.1339185849E+04    0.1120073230E+02        56        61        51
    0.2531269814E+02    0.6318680535E+01    0.3999220212E+01    0.7413322137E+01    0.2855478737E+02    0.1666133298E+03    0.1339185849E+04    0.1120064923E+02        61        61        51
    0.2531299352E+02    0.6318697406E+01    0.3999212600E+01    0.7413320005E+01    0.2855478722E+02    0.1666133298E+03    0.1339185849E+04    0.1120067202E+02        66        61        51
    0.2531295631E+02    0.6318675127E+01    0.3999209639E+01    0.7413320248E+01    0.2855478738E+02    0.1666133298E+03    0.1339185849E+04    0.1120068330E+02        71        61        51
    0.2531291855E+02    0.6318674651E+01    0.3999211083E+01    0.7413320567E+01    0.2855478739E+02    0.1666133298E+03    0.1339185849E+04    0.1120067863E+02        76        61        51
    0.2531292697E+02    0.6318677774E+01    0.3999211351E+01    0.7413320489E+01    0.2855478736E+02    0.1666133298E+03    0.1339185849E+04    0.1120067743E+02        81        61        51
    0.2531293134E+02    0.6318677568E+01    0.3999211133E+01    0.7413320457E+01    0.2855478736E+02    0.1666133298E+03    0.1339185849E+04    0.1120067823E+02        86        61        51
    0.2531292969E+02    0.6318677143E+01    0.3999211111E+01    0.7413320468E+01    0.2855478737E+02    0.1666133298E+03    0.1339185849E+04    0.1120067833E+02        91        61        51
    0.2531292926E+02    0.6318677219E+01    0.3999211146E+01    0.7413320473E+01    0.2855478737E+02    0.1666133298E+03    0.1339185849E+04    0.1120067820E+02        96        61        51
