S   6    
1     43866.5000000    0.000917999424      
2      6605.3700000    0.007046995575
3      1513.2600000    0.035940977431
4       432.3170000    0.141460911171
5       142.1490000    0.426763732019
6        51.3983000    0.497974687303
S   3                                 
1        51.3983000    0.251354984405  
2        19.9196000    0.618670961616
3         8.0247400    0.188416988310
S   1                                 
1         2.5081700    1.000000000000
S   1                                 
1         0.8715310    1.000000000000
S   1                                 
1         0.1081880    1.000000000000
S   1                                 
1         0.0401300    1.000000000000
P   4                                 
1       193.8540000    0.010187997278 
2        45.4420000    0.075359979868
3        14.1864000    0.307418917875
4         5.0575100    0.717574808305
P   2                                 
1         1.8886100    0.667339024368 
2         0.7226520    0.394649014411
L   1                                 
1         0.0146000    1.000000000000     1.000000000000
P   1                                 
1         0.2364170    1.000000000000
P   1                                 
1         0.0933580    1.000000000000 
P   1                                 
1         0.0348090    1.000000000000
D   1                                 
1         0.1750000    1.000000000000
