S   6    
1    105819.0000000    0.000738000247      
2     15872.0000000    0.005718001910
3      3619.6500000    0.029495009853
4      1030.8000000    0.117286039181
5       339.9080000    0.362949121247
6       124.5380000    0.584149195141
S   3                                 
1       124.5380000    0.134176973388  
2        49.5135000    0.624249876187
3        20.8056000    0.291755942134
S   1                                 
1         6.5834600    1.000000000000
S   1                                 
1         2.5646800    1.000000000000
S   1                                 
1         0.5597630    1.000000000000
S   1                                 
1         0.1832730    1.000000000000
P   5                                 
1       589.7760000    0.002390999685 
2       139.8490000    0.018503997563
3        45.1413000    0.081376989284
4        16.8733000    0.221551970825
5         6.7411000    0.772568898264 
P   2                                 
1         6.7411000   -1.572243812589 
2         2.7715200    0.992388881708
L   1                                 
1         0.0483000    1.000000000000     1.000000000000
P   1                                 
1         1.0238700    1.000000000000
P   1                                 
1         0.3813680    1.000000000000 
P   1                                 
1         0.1094370    1.000000000000
D   1                                 
1         0.7500000    1.000000000000
